type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes
Nesanitarne deponije,45.29047,20.02215,1988,37,60199.0,60199.0,150497.5,1627.0,1.59,39.65
Nesanitarne deponije,45.22377,20.0215,1989,36,105552.0,105552.0,263880.0,2932.0,2.81,70.33
Nesanitarne deponije,45.18149,20.04076,1990,35,38570.0,38570.0,96425.0,1102.0,1.04,26.0
Nesanitarne deponije,44.6998136,21.5859578,1995,30,120000.0,120000.0,300000.0,4000.0,3.43,85.78
Nesanitarne deponije,42.3821709,22.0594989,1992,33,51447.0,51447.0,128617.5,1559.0,1.42,35.5
Nesanitarne deponije,44.477232,19.822436,1980,45,472500.0,472500.0,1181250.0,10500.0,11.38,284.39
Nesanitarne deponije,44.38174,20.20693,2004,21,144300.0,144300.0,360750.0,6871.43,4.59,114.77
Nesanitarne deponije,44.45318,19.422962,1994,31,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,45.375949,19.2052207,1990,35,167650.0,167650.0,419125.0,4790.0,4.52,113.0
Nesanitarne deponije,44.5931,21.2322,2006,19,42.09,42.08,105.21,2.21,0.0,0.03
Nesanitarne deponije,43.7195,21.389,1980,45,225000.0,225000.0,562500.0,5000.0,5.42,135.42
Nesanitarne deponije,43.035496,20.425255,1999,26,1170000.0,1170000.0,2925000.0,45000.0,35.08,877.12
Nesanitarne deponije,45.6895345,19.6988385,1990,35,10080.0,10080.0,25200.0,288.0,0.27,6.79
Nesanitarne deponije,45.7958676,20.1013361,1985,40,340000.0,340000.0,850000.0,8500.0,8.66,216.38
Nesanitarne deponije,45.615375,19.736438,2006,19,399000.0,399000.0,997500.0,21000.0,12.99,324.72
Nesanitarne deponije,43.8136797,20.0429123,1975,50,37400.0,37400.0,93500.0,748.0,0.85,21.33
Nesanitarne deponije,43.026099,22.812156,1970,55,27500.0,27500.0,68750.0,500.0,0.6,14.88
Nesanitarne deponije,43.182,22.569,1990,35,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,43.109,22.56,2010,15,30000.0,30000.0,75000.0,2000.0,1.02,25.49
Nesanitarne deponije,43.2435,19.382,1972,53,556500.0,556500.0,1391250.0,10500.0,12.3,307.48
Nesanitarne deponije,43.46204,20.061617,1965,60,39.0,39.0,97.5,0.65,0.0,0.02
Nesanitarne deponije,45.12371,20.171451,1989,36,121680.0,121680.0,304200.0,3380.0,3.24,81.07
Nesanitarne deponije,45.016111,19.846553,1984,41,738000.0,738000.0,1845000.0,18000.0,18.58,464.4
Nesanitarne deponije,45.0,19.0,1974,51,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,45.0,19.0,1974,51,765000.0,765000.0,1912500.0,15000.0,17.27,431.63
Nesanitarne deponije,45.592039,20.046126,1965,60,1200000.0,1200000.0,3000000.0,20000.0,24.7,617.51
Nesanitarne deponije,44.7743084,19.4726886,1990,35,140160.0,140160.0,350400.0,4004.57,3.78,94.47
Nesanitarne deponije,44.833814,19.4535269,1990,35,187200.0,187200.0,468000.0,5348.57,5.05,126.18
Nesanitarne deponije,44.56,22.56,1997,28,238000.0,238000.0,595000.0,8500.0,6.97,174.22
Nesanitarne deponije,44.239864,22.556559,1959,66,528000.0,528000.0,1320000.0,8000.0,10.25,256.33
Nesanitarne deponije,45.4239165,19.8547558,1965,60,401500.0,401500.0,1003750.0,6691.67,8.26,206.61
Nesanitarne deponije,44.404548,21.946732,2004,21,37380.0,37380.0,93450.0,1780.0,1.19,29.73
Nesanitarne deponije,45.479018,19.261676,1999,26,332800.0,332800.0,832000.0,12800.0,9.98,249.49
Nesanitarne deponije,46.089054,20.017072,1981,44,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,44.632601,19.789862,1994,31,65100.0,65100.0,162750.0,2100.0,1.84,45.99
Nesanitarne deponije,43.3999438,21.0383712,1969,56,208000.0,208000.0,520000.0,3714.29,4.46,111.43
Nesanitarne deponije,45.6043274,20.1837872,1951,74,663040.0,663040.0,1657600.0,8960.0,11.96,298.97
Nesanitarne deponije,44.0,21.0,1980,45,328000.0,328000.0,820000.0,7288.89,7.9,197.42
Nesanitarne deponije,45.246702,19.499267,1984,41,1845000.0,1845000.0,4612500.0,45000.0,46.44,1161.01
Nesanitarne deponije,45.0,18.0,1978,47,399500.0,399500.0,998750.0,8500.0,9.41,235.26
Nesanitarne deponije,42.324183,21.633724,1995,30,222600.0,222600.0,556500.0,7420.0,6.36,159.12
Nesanitarne deponije,43.7460333,19.7044344,1981,44,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,43.7105736,19.6739422,2002,23,154.0,154.0,385.0,6.7,0.0,0.12
Nesanitarne deponije,43.459331,19.796631,1986,39,156000.0,156000.0,390000.0,4000.0,4.02,100.42
Nesanitarne deponije,44.0,21.0,1964,61,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,44.1,21.3,1995,30,380.0,380.0,950.0,12.67,0.01,0.27
Nesanitarne deponije,43.5672622,21.6806705,1989,36,385200.0,385200.0,963000.0,10700.0,10.27,256.64
Nesanitarne deponije,42.676906,22.056099,1970,55,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,45.9406629,20.1653909,1996,29,110200.0,110200.0,275500.0,3800.0,3.19,79.72
Nesanitarne deponije,44.1143,21.731,1992,33,2040.0,2040.0,5100.0,61.82,0.06,1.41
Nesanitarne deponije,44.8511724,21.0400591,1950,75,62400.0,62400.0,156000.0,832.0,1.12,27.89
Nesanitarne deponije,43.65,21.82,1970,55,572000.0,572000.0,1430000.0,10400.0,12.38,309.57
Nesanitarne deponije,43.291414,20.6367963,1984,41,287000.0,287000.0,717500.0,7000.0,7.22,180.6
Nesanitarne deponije,45.362196,19.311885,1987,38,38000.0,38000.0,95000.0,1000.0,0.99,24.74
Nesanitarne deponije,45.73294,19.372397,1990,35,106400.0,106400.0,266000.0,3040.0,2.87,71.72
Nesanitarne deponije,44.7467258,20.9630099,1980,45,466110.0,466110.0,1165275.0,10358.0,11.22,280.55
Nesanitarne deponije,44.7457,21.5464,1992,33,199056.0,199056.0,497640.0,6032.0,5.49,137.34
Nesanitarne deponije,44.8665327,20.977646,2010,15,12480.0,12480.0,31200.0,832.0,0.42,10.6
Nesanitarne deponije,45.4124,19.2526,1976,49,318500.0,318500.0,796250.0,6500.0,7.34,183.57
Nesanitarne deponije,44.8301833,20.8673946,1950,75,124800.0,124800.0,312000.0,1664.0,2.23,55.77
Nesanitarne deponije,44.7147421,20.8746521,2003,22,18304.0,18304.0,45760.0,832.0,0.58,14.39
Nesanitarne deponije,45.3337,19.3256,1990,35,29400000.0,29400000.0,73500000.0,840000.0,792.67,19816.74
Nesanitarne deponije,44.7849088,21.071952,1950,75,62400.0,62400.0,156000.0,832.0,1.12,27.89
Nesanitarne deponije,43.2356538,21.5980195,1992,33,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,44.8023496,21.2041897,1950,75,62400.0,62400.0,156000.0,832.0,1.12,27.89
Nesanitarne deponije,44.904343,21.382778,1994,31,198400.0,198400.0,496000.0,6400.0,5.61,140.16
Nesanitarne deponije,44.7701096,20.9094028,1950,75,62400.0,62400.0,156000.0,832.0,1.12,27.89
Nesanitarne deponije,45.0,20.0,1991,34,1230800.0,1230800.0,3077000.0,36200.0,33.57,839.34
Nesanitarne deponije,42.52613,21.91062,1962,63,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,43.7845,20.2703,1982,43,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,45.3631842,19.6180128,1985,40,47200.0,47200.0,118000.0,1180.0,1.2,30.04
Nesanitarne deponije,46.079331,19.686445,1978,47,2350000.0,2350000.0,5875000.0,50000.0,55.36,1383.9
Nesanitarne deponije,44.4770813,20.0894164,1965,60,547500.0,547500.0,1368750.0,9125.0,11.27,281.74
Nesanitarne deponije,44.4197145,20.3699057,2011,14,420.0,420.0,1050.0,30.0,0.01,0.36
Nesanitarne deponije,43.2884718,21.8854718,1968,57,5860683.0,5860683.0,14651707.5,102819.0,124.31,3107.85
Nesanitarne deponije,43.043,21.5106,2000,25,54405.0,54405.0,136012.5,2176.2,1.65,41.27
Nesanitarne deponije,43.1409,21.5126,2003,22,51636.0,51636.0,129090.0,2347.09,1.62,40.59
Nesanitarne deponije,42.5813,21.5606,1980,45,424945.0,424945.0,1062362.5,9443.22,10.23,255.77
Nesanitarne deponije,45.311,19.842295,1963,62,24031823.72,24031823.72,60079559.3,387610.06,485.02,12125.46
Nesanitarne deponije,43.021,21.5726,1988,37,182580.0,182580.0,456450.0,4934.59,4.81,120.25
Nesanitarne deponije,45.787467,19.618383,1987,38,114000.0,114000.0,285000.0,3000.0,2.97,74.22
Nesanitarne deponije,43.45,21.02,1970,55,259105.0,259105.0,647762.5,4711.0,5.61,140.23
Nesanitarne deponije,45.2017398,19.7038667,1970,55,247500.0,247500.0,618750.0,4500.0,5.36,133.95
Nesanitarne deponije,43.6479494,21.2851516,1984,41,1845000.0,1845000.0,4612500.0,45000.0,46.44,1161.01
Nesanitarne deponije,43.976582,21.276852,1970,55,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,43.580309,22.262006,1950,75,750000.0,750000.0,1875000.0,10000.0,13.41,335.16
Nesanitarne deponije,44.651648,20.951778,1971,54,2160000.0,2160000.0,5400000.0,40000.0,47.24,1181.12
Nesanitarne deponije,45.3540472,20.3644608,1986,39,1560000.0,1560000.0,3900000.0,40000.0,40.17,1004.16
Nesanitarne deponije,43.5995715,20.9820633,1991,34,302600.0,302600.0,756500.0,8900.0,8.25,206.36
Nesanitarne deponije,45.895785,20.103254,2002,23,60900.0,60900.0,152250.0,2647.83,1.89,47.31
Nesanitarne deponije,45.136345,19.203782,1982,43,545584.0,545584.0,1363960.0,12688.0,13.43,335.72
Nesanitarne deponije,43.6652,21.5625875,1986,39,42900.0,42900.0,107250.0,1100.0,1.1,27.61
Nesanitarne deponije,43.720387,21.3889681,1986,39,234000.0,234000.0,585000.0,6000.0,6.02,150.62
Nesanitarne deponije,44.4646783,21.679741,2002,23,45540.0,45540.0,113850.0,1980.0,1.42,35.38
Nesanitarne deponije,43.3062479,21.3246058,1977,48,268800.0,268800.0,672000.0,5600.0,6.26,156.59
Nesanitarne deponije,43.8781763,21.3475269,1975,50,1017500.0,1017500.0,2543750.0,20350.0,23.21,580.21
Nesanitarne deponije,44.3825454,20.9979128,1990,35,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,45.0888835,20.0496178,1981,44,682000.0,682000.0,1705000.0,15500.0,16.6,415.04
Nesanitarne deponije,43.126827,21.221966,2003,22,175780.0,175780.0,439450.0,7990.0,5.53,138.18
Nesanitarne deponije,44.034167,20.931949,1968,57,10590933.56,10590933.56,26477333.91,185805.85,224.65,5616.25
Nesanitarne deponije,44.54,19.2,1965,60,1800000.0,1800000.0,4500000.0,30000.0,37.05,926.26
Nesanitarne deponije,43.88001,20.38266,1973,52,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,44.8861517,20.6257616,1964,61,2667940.0,2667940.0,6669850.0,43736.72,54.38,1359.4
Nesanitarne deponije,43.73,20.71,1971,54,1994097.0,1994097.0,4985242.5,36927.72,43.62,1090.4
Nesanitarne deponije,45.044369,20.860375,2000,25,25000.0,25000.0,62500.0,1000.0,0.76,18.97
Nesanitarne deponije,45.060005,21.018658,2000,25,37500.0,37500.0,93750.0,1500.0,1.14,28.45
Nesanitarne deponije,43.966106,22.357016,1965,60,1191000.0,1191000.0,2977500.0,19850.0,24.52,612.88
Nesanitarne deponije,43.983624,19.939454,1981,44,7500.0,7500.0,18750.0,170.45,0.18,4.56
Nesanitarne deponije,45.090889,20.979096,2000,25,37500.0,37500.0,93750.0,1500.0,1.14,28.45
Nesanitarne deponije,44.729943,21.193231,1985,40,123907.2,123907.2,309768.0,3097.68,3.15,78.86
Nesanitarne deponije,44.643901,21.179896,1989,36,1232404.98,1232404.98,3081012.45,34233.47,32.84,821.1
Nesanitarne deponije,44.2700821,20.6796526,1970,55,440000.0,440000.0,1100000.0,8000.0,9.53,238.13
Nesanitarne deponije,45.2363348,21.1289255,1980,45,87750.0,87750.0,219375.0,1950.0,2.11,52.82
Nesanitarne deponije,42.48678,22.48848,1974,51,178500.0,178500.0,446250.0,3500.0,4.03,100.71
Nesanitarne deponije,43.9368,20.7338,1981,44,264.0,264.0,660.0,6.0,0.01,0.16
Nesanitarne deponije,43.858029,19.872087,1973,52,163800.0,163800.0,409500.0,3150.0,3.66,91.45
Nesanitarne deponije,43.2965,19.9378,2008,17,25500.0,25500.0,63750.0,1500.0,0.85,21.22
Nesanitarne deponije,42.714218,22.140422,1981,44,318780.0,318780.0,796950.0,7245.0,7.76,194.0
Nesanitarne deponije,42.4572,21.79063,2015,10,35000.0,35000.0,87500.0,3500.0,1.24,30.92
Nesanitarne deponije,42.456956,21.785286,1993,32,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,44.269656,19.9249978,1990,35,1330000.0,1330000.0,3325000.0,38000.0,35.86,896.47
Nesanitarne deponije,43.678714,20.86053,2015,10,200000.0,200000.0,500000.0,20000.0,7.07,176.69
Nesanitarne deponije,44.62,20.2,1985,40,2800000.0,2800000.0,7000000.0,70000.0,71.28,1781.98
Nesanitarne deponije,45.2926441,21.2926441,1966,59,2360000.0,2360000.0,5900000.0,40000.0,49.06,1226.57
Nesanitarne deponije,43.4576345,22.2032516,1987,38,152570.0,152570.0,381425.0,4015.0,3.97,99.34
Nesanitarne deponije,44.2344272,20.3964209,1987,38,27200.0,27200.0,68000.0,715.79,0.71,17.71
Nesanitarne deponije,43.2884718,21.8854718,1968,57,5860683.0,5860683.0,14651707.5,102819.0,124.31,3107.85
Nesanitarne deponije,44.4022255,19.3312337,1980,45,43956.0,43956.0,109890.0,976.8,1.06,26.46
Nesanitarne deponije,44.7862355,20.5955171,1977,48,85145359.74,85145359.74,212863399.35,1773861.66,1984.1,49602.49
Nesanitarne deponije,43.5234,21.0821,1983,42,63000.0,63000.0,157500.0,1500.0,1.57,39.2
Nesanitarne deponije,45.222989,20.7940327,2011,14,142800.0,142800.0,357000.0,10200.0,4.9,122.52
Nesanitarne deponije,44.818424,20.081981,2010,15,105000.0,105000.0,262500.0,7000.0,3.57,89.22
Nesanitarne deponije,45.8621904,19.1159462,1991,34,1122000.0,1122000.0,2805000.0,33000.0,30.61,765.14
Nesanitarne deponije,44.06742,22.13158,1990,35,545370.0,545370.0,1363425.0,15582.0,14.7,367.6
Nesanitarne deponije,43.0,22.0,1980,45,4500.0,4500.0,11250.0,100.0,0.11,2.71
Nesanitarne deponije,44.0,21.0,1970,55,550000.0,550000.0,1375000.0,10000.0,11.91,297.67
Nesanitarne deponije,43.807785,21.872181,1994,31,96906.0,96906.0,242265.0,3126.0,2.74,68.46
Nesanitarne deponije,46.075846,20.1027,1984,41,190117.0,190117.0,475292.5,4637.0,4.79,119.64
Nesanitarne deponije,43.8781763,21.3475269,1975,50,1060000.0,1060000.0,2650000.0,21200.0,24.18,604.44
Nesanitarne deponije,43.109,22.56,2010,15,30000.0,30000.0,75000.0,2000.0,1.02,25.49
Nesanitarne deponije,43.182,22.569,1990,35,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,45.2017398,19.7038667,1970,55,330000.0,330000.0,825000.0,6000.0,7.14,178.6
Nesanitarne deponije,45.090889,20.979096,2000,25,85000.0,85000.0,212500.0,3400.0,2.58,64.49
Nesanitarne deponije,45.044369,20.860375,2000,25,48725.0,48725.0,121812.5,1949.0,1.48,36.97
Nesanitarne deponije,45.060005,21.018658,2000,25,59525.0,59525.0,148812.5,2381.0,1.81,45.16
Nesanitarne deponije,43.45,21.02,1970,55,265595.0,265595.0,663987.5,4829.0,5.75,143.74
Nesanitarne deponije,45.787467,19.618383,1987,38,117800.0,117800.0,294500.0,3100.0,3.07,76.7
Nesanitarne deponije,45.615375,19.736438,2006,19,399000.0,399000.0,997500.0,21000.0,12.99,324.72
Nesanitarne deponije,45.222989,20.7940327,2011,14,147000.0,147000.0,367500.0,10500.0,5.04,126.12
Nesanitarne deponije,45.3631842,19.6180128,1985,40,47360.0,47360.0,118400.0,1184.0,1.21,30.14
Nesanitarne deponije,44.8665327,20.977646,2010,15,16950.0,16950.0,42375.0,1130.0,0.58,14.4
Nesanitarne deponije,44.8511724,21.0400591,1950,75,73500.0,73500.0,183750.0,980.0,1.31,32.85
Nesanitarne deponije,44.7467258,20.9630099,1980,45,548100.0,548100.0,1370250.0,12180.0,13.2,329.89
Nesanitarne deponije,44.7701096,20.9094028,1950,75,121500.0,121500.0,303750.0,1620.0,2.17,54.3
Nesanitarne deponije,44.7147421,20.8746521,2003,22,20900.0,20900.0,52250.0,950.0,0.66,16.43
